name chr start stop
290 GRMZM2G002121 1 1175064 1175911
424 GRMZM2G008773 1 3883250 3883978
394 GRMZM2G007441 1 7308072 7309721
269 GRMZM2G000749 1 12096518 12104575
18 AC186417 1 13071384 13073261
5 AC177911 1 16789304 16789867
383 GRMZM2G006631 1 19099171 19101185
331 GRMZM2G004259 1 21456079 21460929
94 AC200038 1 21602441 21603593
392 GRMZM2G007188 1 22772314 22775567
369 GRMZM2G005844 1 23215695 23223908
367 GRMZM2G005624 1 23240103 23243488
362 GRMZM2G005435 1 23241734 23249044
154 AC209675 1 36698220 36698474
217 AC217897 1 38553315 38553722
388 GRMZM2G007055 1 38874009 38877165
98 AC202101 1 42876845 42877783
143 AC208201 1 45342499 45345072
372 GRMZM2G006085 1 45909820 45923442
378 GRMZM2G006370 1 45924857 45928208
427 GRMZM2G009060 1 52392454 52394836
117 AC204659 1 62243187 62244439
80 AC197387 1 63922831 63923295
314 GRMZM2G003530 1 68443392 68447719
345 GRMZM2G004736 1 71541322 71549018
4 AC177908 1 72698779 72699510
100 AC202172 1 84748736 84748963
68 AC196048 1 91022487 91023449
3 AC177900 1 91096808 91097170
102 AC202989 1 91805757 91814615
118 AC204821 1 92034651 92035397
407 GRMZM2G007939 1 95197851 95201490
176 AC211257 1 95785404 95787515
179 AC211390 1 97042657 97047760
151 AC209213 1 106131331 106133248
326 GRMZM2G004041 1 119431359 119432284
165 AC210517 1 122044278 122045462
109 AC203980 1 126854718 126855403
148 AC208678 1 139458563 139459385
163 AC210254 1 148929245 148929973
316 GRMZM2G003631 1 165985300 165988520
399 GRMZM2G007555 1 167215862 167225573
127 AC205595 1 172099902 172100114
192 AC212878 1 172656911 172657069
92 AC199908 1 177175309 177178211
56 AC194380 1 185442495 185445920
196 AC213857 1 187371929 187374622
52 AC194172 1 190104934 190108396
377 GRMZM2G006293 1 191296962 191298217
425 GRMZM2G008789 1 192350077 192352928
129 AC205814 1 194851095 194851487
53 AC194272 1 195589977 195590805
328 GRMZM2G004079 1 201226716 201229956
43 AC192608 1 202565596 202565988
14 AC185587 1 203132948 203134531
210 AC215309 1 203284628 203287763
249 AC234528 1 204265287 204279895
96 AC200881 1 217598295 217599392
313 GRMZM2G003426 1 218852736 218853568
219 AC217977 1 220558313 220574558
209 AC214819 1 228825501 228832109
350 GRMZM2G004996 1 232238666 232243018
327 GRMZM2G004057 1 233951532 233957183
283 GRMZM2G001606 1 236290319 236292368
215 AC217264 1 246008644 246014395
197 AC213890 1 250656532 250658119
111 AC204213 1 253974590 253977195
29 AC190498 1 262572552 262573174
158 AC210023 1 263285062 263288574
330 GRMZM2G004160 1 267227976 267228944
20 AC186684 1 267858700 267862187
268 GRMZM2G000743 1 271693701 271695057
19 AC186424 1 279720782 279721204
252 AC235547 1 282473695 282477455
6 AC177936 1 285718505 285719643
175 AC211166 1 291045287 291049409
183 AC211892 1 294983088 294986846
15 AC185588 1 297260789 297265048
157 AC210003 2 4198769 4199115
395 GRMZM2G007453 2 9988447 9994998
352 GRMZM2G005155 2 10371799 10374750
171 AC210678 2 17883718 17883936
203 AC214523 2 19608353 19609878
181 AC211589 2 24251449 24252028
147 AC208663 2 30554101 30555189
182 AC211676 2 36110938 36111315
48 AC193754 2 36509304 36511343
59 AC194705 2 44365339 44366850
359 GRMZM2G005346 2 47788104 47793198
152 AC209624 2 83799692 83800788
113 AC204387 2 111055117 111055332
189 AC212401 2 119736212 119736828
272 GRMZM2G000959 2 133820202 133821805
385 GRMZM2G006765 2 140690302 140692761
67 AC196035 2 150536509 150537197
178 AC211347 2 150726749 150727991
243 AC233966 2 153555619 153557062
216 AC217842 2 156421057 156425686
162 AC210204 2 165300680 165302425
230 AC230020 2 168475220 168477550
335 GRMZM2G004408 2 169429654 169431584
430 GRMZM2G009136 2 179524500 179529627
428 GRMZM2G009083 2 179530409 179531446
2 AC165178 2 182073110 182074487
137 AC207254 2 182874039 182874803
33 AC190999 2 184584416 184594797
434 GRMZM2G009344 2 188327805 188337091
267 GRMZM2G000692 2 193808261 193812322
128 AC205673 2 197661880 197662716
347 GRMZM2G004784 2 199373401 199377251
221 AC219056 2 201821448 201822816
250 AC235011 2 207421713 207424327
323 GRMZM2G003937 2 208869362 208870920
423 GRMZM2G008623 2 214508388 214514871
315 GRMZM2G003558 2 218017797 218019722
429 GRMZM2G009097 2 222971838 222972748
309 GRMZM2G003043 2 224644894 224652147
276 GRMZM2G001180 2 230345858 230350527
285 GRMZM2G001777 2 230914472 230921498
38 AC191601 2 231094449 231096232
426 GRMZM2G008919 2 233040852 233044941
204 AC214602 2 233170890 233173442
403 GRMZM2G007715 2 237576483 237585429
234 AC233853 3 3820877 3822104
232 AC232289 3 8628446 8628883
28 AC190491 3 11979018 11980242
32 AC190933 3 16622723 16624526
194 AC213353 3 18338322 18338972
401 GRMZM2G007615 3 22382531 22383427
60 AC194734 3 23531330 23531740
173 AC210892 3 28639404 28639997
248 AC234190 3 34108027 34110358
108 AC203804 3 46476726 46478530
184 AC212035 3 57009436 57013614
404 GRMZM2G007834 3 63734337 63734594
190 AC212709 3 79319343 79320385
340 GRMZM2G004663 3 98208302 98218329
51 AC194101 3 99491543 99492376
166 AC210593 3 105972987 105973595
11 AC185252 3 113360843 113361506
228 AC230011 3 113912577 113913011
144 AC208212 3 122798699 122799372
386 GRMZM2G006841 3 131645465 131646840
354 GRMZM2G005205 3 134792044 134799034
71 AC196170 3 140715387 140716313
70 AC196130 3 161302580 161302780
246 AC234165 3 164036104 164037525
379 GRMZM2G006453 3 169620143 169623092
226 AC226606 3 178383856 178384509
296 GRMZM2G002276 3 179837078 179842135
12 AC185500 3 180952906 180953804
200 AC214448 3 181844888 181846240
114 AC204515 3 188587457 188589046
195 AC213769 3 202295636 202297204
37 AC191541 3 205611714 205614906
254 GRMZM2G000103 3 209365837 209366430
229 AC230013 3 210752028 210754857
282 GRMZM2G001457 3 229220591 229241591
375 GRMZM2G006130 3 230094424 230105510
55 AC194362 3 232080383 232081785
265 GRMZM2G000586 4 140231 141201
145 AC208423 4 10099668 10101404
324 GRMZM2G003970 4 21243635 21244648
321 GRMZM2G003814 4 26428585 26435579
8 AC184169 4 26820782 26821925
417 GRMZM2G008341 4 29951760 29952726
261 GRMZM2G000481 4 34368353 34372221
400 GRMZM2G007587 4 36548874 36551038
414 GRMZM2G008273 4 37136806 37143423
54 AC194335 4 37631220 37632310
387 GRMZM2G006953 4 44885696 44888396
42 AC192367 4 58518574 58521811
81 AC197714 4 58559735 58560791
298 GRMZM2G002440 4 65030507 65043340
122 AC205057 4 84858208 84859434
421 GRMZM2G008497 4 93279929 93293698
233 AC232321 4 94970313 94971042
159 AC210035 4 107213056 107213859
13 AC185530 4 120681570 120683125
35 AC191328 4 123716437 123716658
169 AC210616 4 124195485 124196894
61 AC194897 4 129648163 129649237
349 GRMZM2G004908 4 137620391 137623764
125 AC205511 4 143912485 143919801
346 GRMZM2G004748 4 157636950 157644646
10 AC184172 4 158434777 158435616
17 AC186287 4 174024717 174026189
89 AC199572 4 182303067 182303312
436 GRMZM2G009348 4 192838960 192840699
30 AC190609 4 194461405 194464592
126 AC205592 4 198101623 198103000
211 AC216734 4 198353901 198355764
409 GRMZM2G008106 4 201910325 201912022
198 AC214147 4 202518318 202538419
363 GRMZM2G005452 4 203456993 203463295
187 AC212332 4 204001653 204007007
253 GRMZM2G000014 4 205027469 205034967
9 AC184171 4 206488586 206489242
185 AC212156 4 210279256 210282746
300 GRMZM2G002555 4 212012577 212014686
299 GRMZM2G002531 4 214217037 214228065
263 GRMZM2G000576 4 215043816 215071942
212 AC216854 4 216699597 216700274
77 AC196972 4 228672904 228673365
312 GRMZM2G003377 4 231949078 231952617
142 AC208126 4 236290139 236290561
205 AC214641 4 239491474 239493079
223 AC220970 5 434766 446428
303 GRMZM2G002805 5 2378612 2379911
308 GRMZM2G003014 5 3258467 3258707
307 GRMZM2G003002 5 4101243 4102793
16 AC185628 5 7215086 7217177
360 GRMZM2G005365 5 9255207 9259407
31 AC190734 5 11858800 11859879
135 AC206941 5 12302726 12303286
302 GRMZM2G002754 5 13421576 13439867
381 GRMZM2G006474 5 14489233 14495562
237 AC233885 5 15973338 15976944
214 AC217056 5 20275702 20278751
161 AC210169 5 28464232 28466634
133 AC206898 5 32455437 32458360
177 AC211332 5 36376289 36376789
357 GRMZM2G005260 5 38173535 38176102
123 AC205104 5 45565661 45566841
156 AC209987 5 46807671 46810898
146 AC208630 5 49087591 49088133
79 AC197347 5 54993690 54994521
41 AC191771 5 60628740 60630483
103 AC203278 5 69999882 70000736
136 AC207231 5 71599295 71601710
438 GRMZM2G009365 5 74537226 74542438
150 AC209177 5 75986614 75986985
393 GRMZM2G007372 5 84876426 84879654
7 AC183413 5 112078490 112084662
207 AC214771 5 141296955 141297587
295 GRMZM2G002199 5 148274265 148278259
90 AC199728 5 164760357 164763484
199 AC214350 5 166435178 166438142
343 GRMZM2G004715 5 168705468 168708045
278 GRMZM2G001223 5 177037862 177039896
168 AC210598 5 177285278 177288128
384 GRMZM2G006707 5 181690997 181698714
405 GRMZM2G007835 5 183201908 183203670
370 GRMZM2G005996 5 193704698 193708917
