name chr start stop
587 GRMZM2G008327 1 3872112 3877699
56 AC191330 1 7106940 7110012
600 GRMZM2G009014 1 8510045 8514841
262 AC209858 1 11299652 11300335
49 AC191040 1 11785695 11787049
94 AC196394 1 16626129 16627349
493 GRMZM2G003466 1 20094143 20095476
565 GRMZM2G007130 1 22372656 22375259
23 AC186653 1 23341672 23342177
494 GRMZM2G003506 1 24673749 24676394
99 AC196789 1 31053070 31054579
4 AC177947 1 33360058 33360669
292 AC212209 1 34118907 34119833
448 GRMZM2G001663 1 35738668 35743638
458 GRMZM2G001918 1 39736524 39741618
380 AC233935 1 40917519 40918919
153 AC202041 1 43512377 43513459
91 AC196161 1 45744655 45745230
249 AC208571 1 50697892 50709671
601 GRMZM2G009253 1 52454643 52460972
258 AC209460 1 54826762 54827929
270 AC211001 1 55172328 55172783
199 AC204306 1 56758467 56758961
217 AC205502 1 59469283 59471782
82 AC195378 1 60525959 60526516
308 AC213099 1 62890896 62893712
440 GRMZM2G001361 1 64678110 64679802
205 AC204540 1 66123147 66123617
485 GRMZM2G003138 1 66676746 66678708
341 AC217311 1 74288865 74290292
324 AC214524 1 77863151 77863393
483 GRMZM2G003076 1 83835119 83838664
288 AC211996 1 84642922 84643630
303 AC212809 1 89987872 89988423
216 AC205500 1 106680398 106681998
17 AC186283 1 108665035 108665544
142 AC199932 1 117900408 117900859
318 AC214146 1 126581758 126582009
364 AC225309 1 128125104 128128514
187 AC203790 1 128506086 128506397
151 AC201966 1 129737859 129738449
69 AC193756 1 135636034 135636462
245 AC208453 1 146261359 146262161
559 GRMZM2G006704 1 147208700 147209327
566 GRMZM2G007146 1 150486725 150496209
349 AC217941 1 154953643 154955598
539 GRMZM2G005482 1 156749375 156750388
462 GRMZM2G002138 1 158198742 158201633
50 AC191049 1 165036795 165037190
131 AC199488 1 165642152 165642397
496 GRMZM2G003595 1 165830870 165981582
497 GRMZM2G003635 1 173238218 173244376
231 AC207389 1 173907954 173908247
193 AC203989 1 176784749 176786228
313 AC213779 1 184902672 184903036
286 AC211887 1 186998377 186998949
24 AC186691 1 189401153 189401341
260 AC209698 1 195177969 195178370
221 AC206031 1 199773262 199774101
354 AC218900 1 199904499 199905482
580 GRMZM2G007969 1 199936744 199937442
16 AC186231 1 202661440 202662279
65 AC192204 1 204114530 204116229
243 AC208434 1 204405918 204409446
22 AC186619 1 207378626 207379899
546 GRMZM2G005955 1 212379445 212405574
348 AC217910 1 217326066 217327325
583 GRMZM2G008226 1 218618198 218623789
311 AC213521 1 226276309 226279597
244 AC208440 1 227507113 227513613
377 AC233892 1 231913340 231915088
455 GRMZM2G001850 1 233622698 233624206
593 GRMZM2G008607 1 234369875 234382869
500 GRMZM2G003724 1 237517026 237546226
78 AC195307 1 239216615 239217601
150 AC201898 1 246746206 246746573
230 AC207347 1 252853757 252860408
102 AC197082 1 260724701 260725584
473 GRMZM2G002687 1 264809025 264817000
474 GRMZM2G002699 1 264819149 264825447
376 AC233878 1 272711752 272730611
11 AC184871 1 273740133 273741619
145 AC200627 1 274911540 274912271
89 AC196018 1 279009669 279012679
548 GRMZM2G006047 1 287181575 287182810
525 GRMZM2G004500 1 290891771 290893607
361 AC225147 1 292956664 292959160
120 AC198418 1 295187053 295270266
3 AC177926 1 295676620 295677276
48 AC191009 1 298580669 298582820
1 AC177899 1 300424022 300426500
45 AC190792 2 1311863 1312529
401 GRMZM2G000093 2 5691330 5698272
129 AC199343 2 6202602 6203876
520 GRMZM2G004352 2 6471985 6474848
164 AC202705 2 6716738 6717613
438 GRMZM2G001334 2 8295856 8302609
398 GRMZM2G000044 2 9016645 9017967
579 GRMZM2G007914 2 9969444 9972959
25 AC186904 2 15125655 15126236
61 AC191654 2 16367029 16367535
305 AC212835 2 21480012 21481661
19 AC186337 2 25257315 25257791
306 AC212859 2 26355900 26368290
471 GRMZM2G002642 2 27008091 27014593
137 AC199765 2 27015678 27017168
598 GRMZM2G008792 2 28171678 28176604
564 GRMZM2G006952 2 28394275 28396371
436 GRMZM2G001241 2 30860190 30862912
595 GRMZM2G008656 2 34849946 34851008
331 AC215635 2 46794632 46798791
499 GRMZM2G003720 2 49627183 49630357
18 AC186329 2 49947660 49948234
385 AC233967 2 55216669 55218655
53 AC191073 2 62494210 62496391
97 AC196489 2 64574883 64575383
395 AC235541 2 70334194 70338284
57 AC191338 2 72010854 72012814
70 AC194157 2 81442789 81442992
402 GRMZM2G000127 2 99232081 99233885
92 AC196212 2 99631866 99632076
502 GRMZM2G003796 2 104162942 104164828
345 AC217553 2 108005160 108008619
394 AC235540 2 121067601 121071771
116 AC198223 2 135480682 135480996
489 GRMZM2G003234 2 137194766 137196436
218 AC205544 2 140689328 140690257
227 AC206611 2 145660638 145660832
287 AC211891 2 148866706 148870523
214 AC205405 2 159578875 159579297
238 AC208035 2 160790675 160791139
363 AC225225 2 174334340 174335167
478 GRMZM2G002915 2 178781916 178784181
449 GRMZM2G001750 2 182190166 182197504
447 GRMZM2G001660 2 185040655 185045557
459 GRMZM2G002043 2 186771212 186777029
44 AC190771 2 188512947 188513408
603 GRMZM2G009406 2 189176443 189178273
375 AC233861 2 189738060 189741583
510 GRMZM2G003992 2 189923246 189926358
514 GRMZM2G004138 2 189926667 189928404
508 GRMZM2G003947 2 190587063 190588237
271 AC211164 2 192995053 192997377
477 GRMZM2G002807 2 196570627 196574504
104 AC197242 2 197381864 197382220
479 GRMZM2G002948 2 198671989 198674105
453 GRMZM2G001820 2 203790978 203797875
219 AC205608 2 211193696 211195701
585 GRMZM2G008236 2 214821517 214822279
495 GRMZM2G003563 2 218024593 218027263
43 AC190671 2 219295681 219296043
144 AC200495 2 219613670 219614372
85 AC195874 2 220221528 220227568
505 GRMZM2G003852 2 221906996 221908328
429 GRMZM2G000936 2 227370950 227376406
441 GRMZM2G001401 2 230374317 230380768
343 AC217415 2 230653378 230653899
400 GRMZM2G000092 2 232270717 232276019
599 GRMZM2G008898 2 233050784 233053964
597 GRMZM2G008765 2 233063938 233075628
98 AC196710 2 233560676 233561086
456 GRMZM2G001875 3 6740165 6741502
484 GRMZM2G003096 3 14343676 14346988
146 AC200725 3 19718624 19719082
501 GRMZM2G003794 3 20752642 20755612
339 AC216891 3 22684629 22686670
391 AC234199 3 30417263 30418480
198 AC204300 3 30531770 30534106
397 EF517601 3 34418267 34419092
233 AC207652 3 38173936 38180113
159 AC202139 3 41370553 41371386
135 AC199638 3 43851574 43853087
442 GRMZM2G001451 3 48302029 48304991
42 AC190652 3 50086785 50091237
267 AC209973 3 51158113 51158670
200 AC204325 3 54165402 54166016
62 AC191686 3 56333767 56334246
237 AC207896 3 58654027 58654419
132 AC199526 3 58874516 58886336
106 AC197526 3 61350198 61352045
8 AC183927 3 64564657 64565681
2 AC177922 3 74807795 74808415
119 AC198386 3 83272571 83273029
103 AC197150 3 87791575 87795119
281 AC211588 3 93160108 93160829
355 AC218973 3 93840473 93841300
320 AC214360 3 110200298 110204075
362 AC225185 3 110685038 110688542
524 GRMZM2G004468 3 111072316 111097475
284 AC211749 3 114893083 114893379
190 AC203865 3 119995076 119998349
188 AC203834 3 123642461 123643716
268 AC210168 3 126528727 126530273
253 AC208930 3 129238391 129240981
358 AC219080 3 129528384 129529226
6 AC183509 3 135593194 135594223
257 AC209377 3 137557892 137558383
5 AC183372 3 141361115 141361927
562 GRMZM2G006806 3 141514939 141517892
264 AC209884 3 141880591 141883590
328 AC214744 3 150316486 150316890
183 AC203535 3 157459234 157460061
443 GRMZM2G001497 3 160346410 160348303
272 AC211192 3 160917391 160919955
325 AC214534 3 162644838 162646442
555 GRMZM2G006452 3 166054509 166060853
134 AC199554 3 177501141 177501314
575 GRMZM2G007659 3 178110298 178113680
498 GRMZM2G003682 3 178149613 178151477
561 GRMZM2G006763 3 181560024 181562970
195 AC204009 3 184687773 184688384
530 GRMZM2G004858 3 187541208 187545244
108 AC197578 3 192838059 192843265
101 AC197055 3 202118588 202121633
148 AC201767 3 203217608 203218132
596 GRMZM2G008726 3 204357024 204359995
504 GRMZM2G003838 3 205178928 205180092
571 GRMZM2G007339 3 206492405 206496407
382 AC233945 3 207971264 207978309
370 AC229993 3 209022955 209024343
491 GRMZM2G003354 3 212326087 212330814
518 GRMZM2G004183 3 213687450 213689588
122 AC198725 3 217293880 217296219
344 AC217499 3 221237298 221242012
472 GRMZM2G002646 3 225169627 225172180
481 GRMZM2G003033 3 229329223 229335444
480 GRMZM2G002999 3 229339209 229341612
434 GRMZM2G001160 4 2520731 2525510
557 GRMZM2G006601 4 3887819 3891745
226 AC206325 4 5816983 5820548
87 AC196002 4 8905525 8906088
439 GRMZM2G001342 4 13787998 13788490
431 GRMZM2G001043 4 14745232 14746186
432 GRMZM2G001048 4 14748386 14751789
168 AC202965 4 14870166 14871899
161 AC202526 4 21587136 21588129
191 AC203925 4 22720561 22720972
59 AC191548 4 29140088 29140576
293 AC212227 4 31156080 31157666
96 AC196475 4 32278880 32280751
95 AC196412 4 35306162 35307724
581 GRMZM2G007981 4 36525772 36529212
573 GRMZM2G007530 4 36554747 36562449
544 GRMZM2G005737 4 39360975 39365208
414 GRMZM2G000592 4 39812661 39814933
60 AC191564 4 42943589 42944239
322 AC214438 4 43515437 43515928
373 AC233751 4 44806722 44811048
165 AC202707 4 49965054 49968951
475 GRMZM2G002704 4 51286228 51288397
242 AC208358 4 60044942 60049727
170 AC203001 4 64451502 64452251
213 AC205376 4 79612510 79613783
531 GRMZM2G004878 4 81276743 81278112
329 AC214753 4 84743413 84751286
66 AC193319 4 85167504 85167992
424 GRMZM2G000781 4 90646234 90646473
425 GRMZM2G000801 4 90651707 90652294
209 AC205154 4 96664825 96667944
232 AC207397 4 108836298 108839043
283 AC211658 4 110250319 110250840
81 AC195367 4 111351072 111351581
123 AC198752 4 113127366 113128234
211 AC205269 4 116882713 116883280
265 AC209926 4 123212256 123212891
326 AC214635 4 124383381 124384751
464 GRMZM2G002173 4 124589272 124591933
463 GRMZM2G002149 4 124611070 124614718
247 AC208458 4 131780025 131780456
334 AC216201 4 139222000 139222698
240 AC208122 4 144203107 144229067
235 AC207756 4 144501061 144503213
86 AC195995 4 147530456 147531299
550 GRMZM2G006219 4 148451287 148454913
513 GRMZM2G004131 4 154074090 154075877
413 GRMZM2G000520 4 155637629 155639086
46 AC190832 4 166281123 166281647
139 AC199779 4 170836017 170836535
202 AC204383 4 175451712 175452335
415 GRMZM2G000610 4 175942989 175945921
553 GRMZM2G006297 4 177071284 177085457
13 AC185466 4 181701813 181703195
112 AC197758 4 184114416 184116743
335 AC216203 4 184616322 184618084
310 AC213432 4 186448889 186449446
208 AC204868 4 187014853 187016150
54 AC191097 4 195504281 195504976
466 GRMZM2G002286 4 197547255 197551300
58 AC191418 4 199271064 199271456
296 AC212567 4 201433173 201434984
266 AC209971 4 202081892 202082095
507 GRMZM2G003944 4 205135011 205137036
220 AC205726 4 205698382 205698714
105 AC197427 4 206340831 206344558
15 AC186164 4 227260402 227260905
291 AC212189 4 227614034 227617095
577 GRMZM2G007854 4 228239150 228289179
430 GRMZM2G000964 4 235154284 235161788
255 AC209356 4 236432724 236433088
90 AC196154 4 237450611 237450928
7 AC183888 4 240776870 240778495
169 AC202974 5 1576861 1577514
511 GRMZM2G004092 5 1676246 1679710
300 AC212728 5 2176121 2177269
276 AC211477 5 2287927 2288803
476 GRMZM2G002765 5 2387256 2400959
568 GRMZM2G007246 5 4480676 4481810
570 GRMZM2G007260 5 4495638 4500518
578 GRMZM2G007907 5 4503248 4518287
246 AC208454 5 7611569 7612408
465 GRMZM2G002225 5 13957725 13980234
576 GRMZM2G007810 5 15713615 15720029
