name chr start stop
440 GRMZM2G007025 1 2871384 2874061
485 GRMZM2G008710 1 3876890 3880198
19 AC186233 1 10191818 10194485
321 GRMZM2G000823 1 12143634 12148242
319 GRMZM2G000686 1 15805372 15808636
224 AC209626 1 17883584 17884562
495 GRMZM2G009326 1 18696277 18699000
396 GRMZM2G005043 1 18889919 18891110
434 GRMZM2G006626 1 19096916 19098679
4 AC177946 1 19103504 19103980
2 AC166636 1 19971518 19972362
342 GRMZM2G002002 1 20281252 20291575
384 GRMZM2G004523 1 21471094 21473995
452 GRMZM2G007347 1 22742975 22747725
180 AC205100 1 35146580 35151871
251 AC214040 1 36160207 36162191
259 AC215240 1 37537650 37538129
283 AC226346 1 37709927 37710902
165 AC204035 1 38856703 38857341
446 GRMZM2G007206 1 45953365 45954677
478 GRMZM2G008490 1 50676169 50679977
367 GRMZM2G003424 1 54122527 54126794
363 GRMZM2G003379 1 54183455 54187809
429 GRMZM2G006477 1 54344215 54350976
340 GRMZM2G001895 1 98344348 98360336
24 AC186602 1 99672340 99673379
129 AC198995 1 108075985 108076669
362 GRMZM2G003368 1 120854789 120856674
212 AC207225 1 124667752 124669327
361 GRMZM2G003230 1 130919091 130919568
387 GRMZM2G004679 1 140270185 140271291
299 AC234187 1 141821111 141821482
186 AC205417 1 146405232 146405750
236 AC210816 1 156172050 156172313
183 AC205336 1 160649757 160651625
302 AF546187 1 161790709 161791431
194 AC205730 1 166343075 166359594
196 AC205972 1 174457422 174457709
87 AC194452 1 179600414 179600878
96 AC195785 1 180842547 180845690
108 AC196957 1 181660327 181662407
414 GRMZM2G005840 1 183336452 183337345
238 AC211196 1 185254805 185255491
113 AC197432 1 185588243 185589169
458 GRMZM2G007681 1 188753175 188845234
358 GRMZM2G003004 1 190671248 190671618
197 AC206030 1 197496222 197497814
156 AC203363 1 198261153 198261977
126 AC198871 1 202446841 202449708
185 AC205379 1 206431561 206432359
136 AC199826 1 215579249 215580150
483 GRMZM2G008663 1 219775934 219813356
244 AC212023 1 224805558 224807816
277 AC225222 1 228072606 228073786
72 AC192362 1 230184093 230184736
47 AC190570 1 230828205 230829884
122 AC198361 1 233392158 233393643
339 GRMZM2G001845 1 233584094 233619421
480 GRMZM2G008578 1 234352994 234353825
476 GRMZM2G008290 1 237715095 237717331
191 AC205619 1 238236849 238238996
131 AC199175 1 243166044 243170616
243 AC211910 1 253837560 253838042
496 GRMZM2G009368 1 264332023 264335077
118 AC197835 1 266885978 266886472
315 GRMZM2G000622 1 268624220 268630526
470 GRMZM2G008072 1 278671733 278674962
453 GRMZM2G007399 1 279745599 279747582
297 AC234157 1 281133099 281133647
78 AC193745 1 283262937 283264166
18 AC186189 1 283455352 283458075
383 GRMZM2G004511 1 290878307 290879858
208 AC207024 1 291855259 291856796
199 AC206259 1 292737075 292748807
221 AC209169 2 2423812 2424102
206 AC206638 2 3089768 3090187
386 GRMZM2G004590 2 6484126 6487479
107 AC196954 2 8064239 8065035
305 GRMZM2G000052 2 8996295 9001550
304 GRMZM2G000047 2 9008335 9011169
303 GRMZM2G000039 2 9018121 9027318
459 GRMZM2G007713 2 9986171 9987280
444 GRMZM2G007157 2 10001774 10005748
395 GRMZM2G005040 2 10384672 10389572
311 GRMZM2G000397 2 12136407 12137756
307 GRMZM2G000166 2 13719531 13721174
357 GRMZM2G002903 2 29192377 29197907
79 AC193787 2 31122099 31122548
94 AC195320 2 34410627 34412387
334 GRMZM2G001653 2 56736411 56737905
282 AC226327 2 57900678 57903296
55 AC190858 2 59293355 59295336
3 AC177924 2 71347458 71352264
323 GRMZM2G000980 2 72416122 72420408
75 AC193423 2 81707361 81708161
465 GRMZM2G007871 2 82436797 82448703
51 AC190677 2 104670244 104670915
52 AC190809 2 107706678 107707164
217 AC208606 2 111824672 111826728
482 GRMZM2G008649 2 115694049 115695142
331 GRMZM2G001524 2 129567449 129568371
261 AC216705 2 131179930 131180370
276 AC219084 2 135771081 135772179
211 AC207206 2 146344707 146346939
159 AC203439 2 168677117 168677596
335 GRMZM2G001668 2 170363990 170373718
101 AC196395 2 174933309 174934685
473 GRMZM2G008185 2 175482478 175484507
43 AC190035 2 178053060 178055295
352 GRMZM2G002569 2 182995588 182999189
343 GRMZM2G002053 2 186779102 186779506
344 GRMZM2G002104 2 186821213 186822709
466 GRMZM2G007885 2 191497718 191504579
210 AC207205 2 192141884 192142623
318 GRMZM2G000665 2 193813850 193835113
152 AC202940 2 200111107 200111581
316 GRMZM2G000640 2 206498600 206499472
441 GRMZM2G007060 2 209238834 209244127
135 AC199820 2 210594734 210595405
477 GRMZM2G008444 2 217515872 217518354
399 GRMZM2G005103 2 217946560 217950746
365 GRMZM2G003409 2 218011744 218014456
45 AC190544 2 220581298 220581516
44 AC190480 2 231587067 231588659
130 AC199068 2 236154598 236156357
233 AC210211 2 236765590 236765859
469 GRMZM2G008058 2 237484583 237489011
292 AC233880 3 1265217 1267473
412 GRMZM2G005788 3 4062859 4065183
90 AC194895 3 6970006 6970234
391 GRMZM2G004799 3 10055146 10058750
388 GRMZM2G004696 3 10076686 10080040
60 AC191012 3 12751821 12752390
295 AC233943 3 12890067 12890852
203 AC206350 3 15441631 15442719
291 AC233872 3 18228179 18230297
112 AC197230 3 19098663 19100826
5 AC182482 3 23016605 23020054
6 AC183315 3 28222059 28223787
281 AC226235 3 30922903 30924030
142 AC200490 3 32094577 32097651
141 AC200298 3 55446516 55447552
8 AC183915 3 55960708 55964177
239 AC211218 3 59499455 59500028
153 AC202959 3 78508309 78509223
369 GRMZM2G003507 3 105570595 105573677
48 AC190572 3 119694068 119695604
201 AC206285 3 127881702 127882109
405 GRMZM2G005419 3 134818583 134820222
394 GRMZM2G004988 3 135313189 135330760
267 AC217379 3 140987852 140988727
437 GRMZM2G006753 3 141518566 141520562
248 AC213772 3 152096967 152097794
253 AC214227 3 154560327 154561208
245 AC212185 3 156445722 156446587
380 GRMZM2G004161 3 165017323 165021303
422 GRMZM2G006277 3 166061814 166076352
7 AC183514 3 168470836 168474060
266 AC217263 3 175568948 175572559
270 AC218092 3 177275911 177280020
400 GRMZM2G005112 3 179262684 179263681
393 GRMZM2G004949 3 179276761 179282187
106 AC196780 3 182186663 182186929
421 GRMZM2G006229 3 183439100 183444845
74 AC193379 3 186117859 186125831
345 GRMZM2G002119 3 188630300 188631149
471 GRMZM2G008109 3 189298152 189302979
433 GRMZM2G006562 3 190899619 190899882
68 AC191539 3 201248394 201248936
214 AC207628 3 202899044 202905460
487 GRMZM2G008764 3 204353126 204355836
306 GRMZM2G000122 3 209418902 209419897
370 GRMZM2G003526 3 212347718 212350127
226 AC209755 3 212547798 212548638
10 AC184699 3 220770504 220772805
157 AC203366 3 222490880 222495008
175 AC204703 3 223111730 223112881
351 GRMZM2G002568 3 224358390 224359215
328 GRMZM2G001255 3 225277772 225280862
329 GRMZM2G001296 3 225283646 225291387
140 AC200210 3 226013900 226015596
39 AC189060 3 227188852 227190968
114 AC197555 3 227582226 227583149
415 GRMZM2G005849 3 230088469 230094104
317 GRMZM2G000660 3 230830535 230833870
172 AC204621 4 1274852 1275829
325 GRMZM2G001169 4 2517723 2519682
254 AC214255 4 4805527 4805814
145 AC201986 4 9187172 9187684
100 AC196262 4 10045185 10047102
99 AC196110 4 15343573 15344099
338 GRMZM2G001827 4 15416159 15416898
170 AC204611 4 18140348 18142699
241 AC211652 4 20421665 20422165
488 GRMZM2G008913 4 29963320 29964590
176 AC204710 4 30508546 30509210
162 AC203909 4 32172292 32172636
314 GRMZM2G000471 4 34365866 34367313
70 AC192177 4 38828375 38828692
61 AC191070 4 42471253 42473681
151 AC202900 4 42660285 42661057
12 AC185305 4 52486720 52486959
397 GRMZM2G005046 4 55286446 55288457
192 AC205664 4 61122833 61123177
181 AC205155 4 61381992 61383108
460 GRMZM2G007736 4 61432556 61437543
249 AC213834 4 72417081 72418321
190 AC205615 4 74780725 74795849
109 AC197047 4 76001724 76002387
38 AC188964 4 92593500 92595618
32 AC187879 4 96082175 96082900
431 GRMZM2G006507 4 97559540 97563316
174 AC204679 4 99318289 99321116
40 AC189694 4 118302543 118303377
451 GRMZM2G007306 4 121469085 121469846
